Titre,État,Région,Site,Description,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur
ASOK_CHAN002,Andhra Pradesh,Āndhradeśa,Chandavaram,Montant de balustrade avec médaillon lotiforme,1 A.D. ; 2 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN001a,Andhra Pradesh,Āndhradeśa,Chandavaram,Panneau avec scènes narratives,1 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_CHAN001,Andhra Pradesh,Āndhradeśa,Chandavaram,Panneau avec scènes narratives,1 A.D.,Stūpa ; panneau,bouddhisme,Telangana State Archaeology Museum,Maronet Léa
ASOK_BODA132,Bihar,Bihar,Bodhgayā,Sūrya sur son chariot,1 B.C.,Panneau,brahmanisme,Bodh Gaya Site Museum,Maronet Léa
ASOK_BODA131,Bihar,Bihar,Bodhgayā,,2 B.C. ; 1 B.C.,Stūpa ; balustrade,bouddhisme,Bodh Gaya Site Museum,Maronet Léa
ASOK_BODA059,Bihar,Bihar,Bodhgayā,Médaillon lotiforme avec éléphant ailé,1 B.C.,Stūpa ; balustrade ; pilier,bouddhisme,Victoria and Albert Museum,Maronet Léa
ASOK_BHA495,Madhya Pradesh,Madhyapradeśa,Bhārhut,,3 B.C. ; 2 B.C. ; 1 B.C.,Stūpa ; panneau,bouddhisme,Allahabad Municipal Museum,Maronet Léa
ASOK_BHA494,Madhya Pradesh,Madhyapradeśa,Bhārhut,,3 B.C. ; 2 B.C. ; 1 B.C.,Stūpa ; panneau,bouddhisme,The Metropolitan Museum of Art (MET),Maronet Léa
ASOK_BHA493,Madhya Pradesh,Madhyapradeśa,Bhārhut,,3 B.C. ; 2 B.C. ; 1 B.C.,Stūpa ; panneau,bouddhisme,The Metropolitan Museum of Art (MET),Maronet Léa
ASOK_BHA170,Madhya Pradesh,Madhyapradeśa,Bhārhut,Vénération de la roue,2 B.C.,Stūpa ; balustrade,bouddhisme,Kolkata Indian Museum,Ganguly Biswarup
ASOK_BHA169,Madhya Pradesh,Madhyapradeśa,Bhārhut,Frise avec personnages et motifs,2 B.C.,Stūpa ; frise,bouddhisme,Kolkata Indian Museum,Ganguly Biswarup
ASOK_BHA168,Madhya Pradesh,Madhyapradeśa,Bhārhut,Mugapakhajātaka,2 B.C.,Stūpa ; balustrade,bouddhisme,Kolkata Indian Museum,Ganguly Biswarup
ASOK_BHA164,Madhya Pradesh,Madhyapradeśa,Bhārhut,Médaillon lotiforme avec portrait de donateur/trice,2 B.C.,Stūpa ; balustrade,bouddhisme,Cleveland Museum of Art,Maronet Léa
ASOK_BHA163,Madhya Pradesh,Madhyapradeśa,Bhārhut,Éléphant,2 B.C.,Stūpa ; frise,bouddhisme,Allahabad Municipal Museum,Maronet Léa
ASOK_BHA162,Madhya Pradesh,Madhyapradeśa,Bhārhut,Vase d'abondance ; fleurs de lotus et oiseau,2 B.C.,Stūpa ; balustrade ; pilier,bouddhisme,Allahabad Municipal Museum,Maronet Léa
ASOK_BHA161,Madhya Pradesh,Madhyapradeśa,Bhārhut,Fleurs de lotus ; végétaux et yakṣa,2 B.C.,Stūpa ; balustrade ; pilier,bouddhisme,Allahabad Municipal Museum,Maronet Léa
ASOK_BHA160,Madhya Pradesh,Madhyapradeśa,Bhārhut,Frise avec médaillons lotiformes,2 B.C.,Stūpa ; frise,bouddhisme,Allahabad Municipal Museum,Maronet Léa
ASOK_BHA157,Madhya Pradesh,Madhyapradeśa,Bhārhut,Médaillon lotiforme avec portrait de donateur/trice,1 B.C.,Stūpa ; balustrade,bouddhisme,Cleveland Museum of Art,Maronet Léa
ASOK_AND021a,Andhra Pradesh,Āndhradeśa,Buddham,Pilier avec demi-médaillon lotiforme,1 A.D. ; 2 A.D.,Stūpa ; balustrade ; pilier,indéterminée,Guntur Baudhasree Archaeological Museum,Maronet Léa
ASOK_AND017,Andhra Pradesh,Āndhradeśa,Kottanandayapalem,Panneau avec motifs décoratifs et animaux,2 A.D.,Stūpa ; panneau,indéterminée,Guntur Baudhasree Archaeological Museum,Maronet Léa
